param,value,algorithm,seed,best_fitness,C1,C2,C3,penalty1,penalty2,infeasibility,n_unserved
mttr,2.0,GA,0,1527.2175118984987,125.40040234860645,248.40124651895005,173.7236743926374,220.25031967121444,1135.0018822187685,0.0,0
mttr,2.0,GA,1,1144.0972395119982,104.9402789165437,242.1870677416984,168.84790131400388,72.17961183458911,913.0217876338269,0.0,0
mttr,2.0,GA,2,1909.7369143024846,182.25321663969294,271.16727527505924,155.80993159173084,488.2252221364676,1217.8729149453065,0.0,0
mttr,2.0,GA,3,1546.7893361988909,164.42275323588285,213.51622119197796,182.79310315829628,467.3755196830908,896.588952908606,0.0,0
mttr,2.0,GA,4,2206.665292569196,159.34989825829143,248.54897361167417,149.78549721498587,583.7327605837036,1438.7357913298472,0.0,0
mttr,2.0,SA,0,1059.8516183975041,114.35731843735512,203.6052813213172,156.2264602297301,254.36265243155952,655.9834303049258,0.0,0
mttr,2.0,SA,1,806.5560254869426,90.74866395256697,207.73659963730643,157.257040163076,0.0,667.409305586852,0.0,0
mttr,2.0,SA,2,1022.6374846051731,112.72498373290672,207.94409541192925,154.0978294649954,202.98120405292883,670.090994169213,0.0,0
mttr,2.0,SA,3,1168.3130129948643,102.13086954525293,232.52964420396495,158.14228764964264,31.905820750589804,983.95440668053,0.0,0
mttr,2.0,SA,4,1100.1844530669732,95.82151893015839,247.2375544159495,143.18721720296995,118.28758929480216,831.177394541713,0.0,0
mttr,2.0,QGA,0,1272.3888828277238,86.77075661113408,235.37250191617784,262.18062190160333,0.0,1105.9556295669827,0.0,0
mttr,2.0,QGA,1,860.7037560545037,90.74866395256697,229.92377660181626,192.29784327442945,0.0,707.8927224427895,0.0,0
mttr,2.0,QGA,2,1299.8991544078267,88.40309131558246,235.0778607526288,237.94119518298345,0.0,1137.5860114876502,0.0,0
mttr,2.0,QGA,3,1171.0749494094064,95.82151893015839,233.79381656324176,162.95876007059385,118.28758929480216,902.1467036664337,0.0,0
mttr,2.0,QGA,4,842.8081966874785,94.14617450922601,223.40271531698932,247.70338976813517,0.0,679.1736168841417,0.0,0
mttr,2.0,Q2GA,0,1285.7757893395137,88.40309131558246,250.4706252586558,217.41296974726964,60.53345520948071,1062.4170069451911,0.0,0
mttr,2.0,Q2GA,1,845.0226855227274,95.82151893015839,220.99683456904907,231.75501900508976,118.28758929480216,566.1742825911134,0.0,0
mttr,2.0,Q2GA,2,951.58999989583,132.69205312283208,226.2121479771478,165.17039321726398,144.1173508598681,640.2288994379487,0.0,0
mttr,2.0,Q2GA,3,1062.9055962907742,150.4938305256178,219.12151813199068,195.79003343167227,233.1262378737967,649.637981028237,0.0,0
mttr,2.0,Q2GA,4,1051.425210239719,88.40309131558246,226.03852979964586,153.84590607456943,0.0,908.6429244271201,0.0,0
mttr,4.0,GA,0,1545.4163672154775,125.90096083884173,249.02425198523375,175.59583937599072,222.75311212239083,1149.8863312028975,0.0,0
mttr,4.0,GA,1,1153.6306803330517,104.9402789165437,242.1870677416984,170.7941942918429,72.17961183458911,922.1659698593126,0.0,0
mttr,4.0,GA,2,1763.0848204201966,182.25321663969294,249.02425198523375,170.3463142836288,488.2252221364676,1074.9564515115867,0.0,0
mttr,4.0,GA,3,1726.103656678661,165.24169768058016,209.43317140269733,188.40693802302752,475.56496413006386,1067.4065046828925,0.0,0
mttr,4.0,GA,4,2220.148829926404,159.34989825829143,248.54897361167417,171.48227287359776,583.7327605837036,1447.879973555333,0.0,0
mttr,4.0,SA,0,1329.096485885907,129.8907901768172,202.22077091102736,159.7778842617069,387.58871589277203,783.9405667790768,0.0,0
mttr,4.0,SA,1,804.3804436409226,90.74866395256697,213.93288966896353,162.57306732942737,0.0,662.3116312980646,0.0,0
mttr,4.0,SA,2,931.2553847159054,95.82151893015839,207.74632487337493,153.12072850067636,118.28758929480216,672.1089927938763,0.0,0
mttr,4.0,SA,3,1143.542891787456,102.13086954525293,240.5539266504348,147.5586916367863,31.905820750589804,958.8937199417521,0.0,0
mttr,4.0,SA,4,1146.8691759945598,102.13086954525293,239.66033152919158,173.7081665285696,31.72304381985775,957.4409646376041,0.0,0
mttr,4.0,QGA,0,1277.0700402936848,86.77075661113408,235.9955073824616,262.18062190160333,0.0,1110.4498853930586,0.0,0
mttr,4.0,QGA,1,864.8658600873214,90.74866395256697,230.42433509205154,196.1163012356218,0.0,711.1409673362981,0.0,0
mttr,4.0,QGA,2,1367.429801267906,130.23693948811035,235.0778607526288,222.0027567781308,198.66291469242228,988.7245072500137,0.0,0
mttr,4.0,QGA,3,1184.1440660724793,95.82151893015839,234.41682202952546,162.95876007059385,118.28758929480216,915.0289186896216,0.0,0
mttr,4.0,QGA,4,851.5975055215972,94.14617450922601,223.9032738072246,253.0218859326043,0.0,686.749058938296,0.0,0
mttr,4.0,Q2GA,0,734.4183516576484,86.77075661113408,224.12144345889968,184.84733788769492,0.0,586.8270727368724,0.0,0
mttr,4.0,Q2GA,1,941.602333072294,90.74866395256697,239.38070750080175,167.25807370232647,0.0,790.9621741053047,0.0,0
mttr,4.0,Q2GA,2,1403.075969860395,170.7049744537469,245.55714667443218,192.27708857670982,372.56002334627516,833.0408975695748,0.0,0
mttr,4.0,Q2GA,3,1139.2938339847199,150.4938305256178,192.31717556311264,187.50357124243658,349.0822155058145,619.7688362986754,0.0,0
mttr,4.0,Q2GA,4,1276.800452633752,114.35731843735512,224.14277371389136,217.20072717547038,211.14287757517076,897.7959382906422,0.0,0
mttr,8.0,GA,0,1575.9206095094623,126.90207781931228,250.27026291780126,179.34016934269738,227.7586970247436,1173.7617608311828,0.0,0
mttr,8.0,GA,1,1138.4088667999429,91.9297058147807,230.79792719956697,163.2072378400392,98.82852371791373,891.7346644467609,0.0,0
mttr,8.0,GA,2,1567.6537112304707,130.24478504608732,250.27026291780126,161.8527807173959,131.88101047614438,1263.198673212463,0.0,0
mttr,8.0,GA,3,1738.4985527896592,165.24169768058016,209.43317140269733,188.40693802302752,475.56496413006386,1079.8014007938905,0.0,0
mttr,8.0,GA,4,1593.0276266050414,130.24478504608732,223.1956260336076,196.28879473594526,164.90240804612043,1256.7863792786059,0.0,0
mttr,8.0,SA,0,1592.8849701638724,138.55229323797647,202.22077091102736,161.64745326192906,541.2031657169939,889.4099359021961,0.0,0
mttr,8.0,SA,1,741.4125568930685,86.77075661113408,207.4089401756895,170.1692392979908,0.0,601.7706486751965,0.0,0
mttr,8.0,SA,2,1246.3563958266705,114.35731843735512,243.0809610842771,152.23724408852854,92.8552882803686,992.9507111846356,0.0,0
mttr,8.0,SA,3,1380.8520898309207,102.13086954525293,225.35511926162172,157.1112225696596,31.905820750589804,1198.852054015286,0.0,0
mttr,8.0,SA,4,1250.4932571188174,119.48584479727664,245.07483662327186,165.44372973091936,78.08630923209101,1006.0528285549226,0.0,0
mttr,8.0,QGA,0,1062.8373534121438,90.74866395256697,256.6304603679324,268.096115840957,0.0,886.8546601572892,0.0,0
mttr,8.0,QGA,1,873.1900681529567,90.74866395256697,231.4254520725221,203.75321715800646,0.0,717.6374571233152,0.0,0
mttr,8.0,QGA,2,1387.9007782556196,130.23693948811035,235.0778607526288,225.0028331846844,198.66291469242228,1008.5954689564167,0.0,0
mttr,8.0,QGA,3,1204.729446388217,95.82151893015839,235.66283296209298,162.95876007059385,118.28758929480216,935.240495725589,0.0,0
mttr,8.0,QGA,4,866.2293890198487,94.14617450922601,224.90439078769518,263.6588782615426,0.0,698.9532088766186,0.0,0
mttr,8.0,Q2GA,0,946.9613529456958,95.82151893015839,217.57406569299695,179.30438120608534,118.28758929480216,679.6299082366983,0.0,0
mttr,8.0,Q2GA,1,858.2370582656956,72.57914164715734,210.1335526256093,279.4370539519469,0.0,703.0200108640447,0.0,0
mttr,8.0,Q2GA,2,656.3199005734937,94.14617450922601,200.12942649169563,265.827382391924,0.0,496.0425088929872,0.0,0
mttr,8.0,Q2GA,3,1122.6149088373681,88.40309131558246,224.04060135840558,223.70546755880636,0.0,966.460089260294,0.0,0
mttr,8.0,Q2GA,4,1232.9929634262012,112.19419402305103,251.56458514345744,166.70450330395832,82.03966620884813,986.0459240019986,0.0,0
mttr,12.0,GA,0,1593.8849249588418,127.90319479978284,251.51627385036878,182.35934564136656,232.7642819270964,1185.24229434847,0.0,0
mttr,12.0,GA,1,1141.9797409503547,91.9297058147807,231.79904418003753,167.0998237957172,98.82852371791373,894.226686311896,0.0,0
mttr,12.0,GA,2,1576.1035953869568,130.24478504608732,251.51627385036878,164.8528571239495,131.88101047614438,1270.6747388078682,0.0,0
mttr,12.0,GA,3,1737.789648215486,165.24169768058016,209.43317140269733,184.86241515216196,475.56496413006386,1079.8014007938905,0.0,0
mttr,12.0,GA,4,1598.3854736150815,130.24478504608732,224.44163696617508,196.28879473594526,164.90240804612043,1261.770423008876,0.0,0
mttr,12.0,SA,0,1757.3339617763004,138.55229323797647,202.22077091102736,170.51123283070862,724.8067479814042,868.4825893364581,0.0,0
mttr,12.0,SA,1,667.3584446915352,90.74866395256697,204.51396085605114,181.62879835426438,0.0,524.3041647875834,0.0,0
mttr,12.0,SA,2,996.2739510269201,90.74866395256697,211.7374003035525,210.40667582758013,0.0,845.2970637940549,0.0,0
mttr,12.0,SA,3,1170.4521464586537,104.9402789165437,209.56143621996915,168.0060793872875,72.36238876532116,949.1499714916125,0.0,0
mttr,12.0,SA,4,1552.7431047139585,187.21219795083755,206.81330272704753,153.44100056930077,636.4607820350955,729.94403277147,0.0,0
mttr,12.0,QGA,0,993.4746291671732,99.95871506024298,208.43417172067126,266.6410485403384,47.27179255308549,780.3650178596972,0.0,0
mttr,12.0,QGA,1,881.3692454849845,90.74866395256697,232.42656905299265,210.66497941235372,0.0,724.1339469103325,0.0,0
mttr,12.0,QGA,2,1395.9768591323352,130.23693948811035,235.0778607526288,228.002909591238,198.66291469242228,1016.0715345518215,0.0,0
mttr,12.0,QGA,3,1211.6192200045905,95.82151893015839,238.76649916540475,227.73214355271148,118.28758929480216,928.2444927845454,0.0,0
mttr,12.0,QGA,4,874.5187937289934,94.14617450922601,225.90550776816573,273.5707169224434,0.0,704.959910759442,0.0,0
mttr,12.0,Q2GA,0,1063.7247903433579,130.24478504608732,231.19999040829356,184.82431475938318,192.4144656856251,699.8630720603244,0.0,0
mttr,12.0,Q2GA,1,970.3390857286336,90.74866395256697,207.9347611610508,191.72793023674208,0.0,824.2387393566864,0.0,0
mttr,12.0,Q2GA,2,1154.4256221615594,99.95871506024298,240.46620625015316,219.79023334915271,47.27179255308549,941.0765635334759,0.0,0
mttr,12.0,Q2GA,3,904.3753946883088,90.74866395256697,221.04028824047526,183.00568456075968,0.0,756.0878393277308,0.0,0
mttr,12.0,Q2GA,4,1277.6008971021465,110.0972123934596,246.443302100849,236.63737798395934,31.143147213005804,1070.1486774653645,0.0,0
mttr,16.0,GA,0,1611.245405148487,128.90431178025338,252.76228478293623,182.35934564136656,237.76986682944917,1196.722827865757,0.0,0
mttr,16.0,GA,1,1144.8002325876616,91.9297058147807,232.80016116050808,167.2404971858707,98.82852371791373,896.718708177031,0.0,0
mttr,16.0,GA,2,1584.5534795434426,130.24478504608732,252.76228478293623,167.8529335305031,131.88101047614438,1278.150804403273,0.0,0
mttr,16.0,GA,3,1742.7750118679028,165.24169768058016,209.43317140269733,209.78923341424513,475.56496413006386,1079.8014007938905,0.0,0
mttr,16.0,GA,4,1603.743320625122,130.24478504608732,225.6876478987426,196.28879473594526,164.90240804612043,1266.754466739146,0.0,0
mttr,16.0,SA,0,889.0057424671456,114.35731843735512,213.6760822314143,194.91054548079126,92.8552882803686,635.8868612025169,0.0,0
mttr,16.0,SA,1,751.3073056834584,90.74866395256697,197.89703305778042,168.0365840199533,0.0,612.9565469858501,0.0,0
mttr,16.0,SA,2,1053.1047989775313,90.74866395256697,219.05533161124492,182.08110480336975,0.0,905.5976465572004,0.0,0
mttr,16.0,SA,3,1217.582852086681,102.13086954525293,225.35511926162172,154.58663157214218,31.905820750589804,1036.0877344705498,0.0,0
mttr,16.0,SA,4,1161.3819087364654,122.67499928941015,230.95058342194648,165.16827609184585,94.03208169275857,903.6934971540487,0.0,0
mttr,16.0,QGA,0,1001.0609221396951,99.95871506024298,208.43417172067126,269.641124946892,47.27179255308549,787.3512955509084,0.0,0
mttr,16.0,QGA,1,888.1942050441737,90.74866395256697,233.42768603346326,210.80565280250718,0.0,730.6304366973499,0.0,0
mttr,16.0,QGA,2,1404.0529400090509,130.23693948811035,235.0778607526288,231.0029859977916,198.66291469242228,1023.5476001472266,0.0,0
mttr,16.0,QGA,3,1216.9770670146308,95.82151893015839,240.01251009797227,227.73214355271148,118.28758929480216,933.2285365148155,0.0,0
mttr,16.0,QGA,4,759.6257504280281,90.74866395256697,222.593353145328,192.655446685184,0.0,608.9423231711095,0.0,0
mttr,16.0,Q2GA,0,1264.2374733119655,130.24478504608732,249.30854201503195,172.97499564048235,219.82906615123835,869.8984529050774,0.0,0
mttr,16.0,Q2GA,1,1135.9508694715453,90.74866395256697,215.5863466020533,188.72798105385345,0.0,988.1550373038751,0.0,0
mttr,16.0,Q2GA,2,1230.2654473271882,136.19596255447902,225.26493937041562,216.20846502218637,161.636898018103,889.7093932162837,0.0,0
mttr,16.0,Q2GA,3,1480.815439146275,114.35731843735512,237.6169915490952,184.65218198666247,93.03806521110064,1222.3831808544355,0.0,0
mttr,16.0,Q2GA,4,1239.056706796736,95.82151893015839,222.1791689807635,218.10282394816676,118.28758929480216,962.5840425529923,0.0,0
mttr,24.0,GA,0,1644.1806444118058,130.90654574119452,255.2543066480712,193.22411030539197,247.7810366341548,1215.725220851554,0.0,0
mttr,24.0,GA,1,1150.3849465062137,91.9297058147807,234.8023951214492,167.2404971858707,98.82852371791373,901.7027519073008,0.0,0
mttr,24.0,GA,2,1566.3712536237576,114.35731843735512,245.44255652882117,169.43151848102676,226.76037052548418,1174.9131532247443,0.0,0
mttr,24.0,GA,3,1742.7750118679028,165.24169768058016,209.43317140269733,209.78923341424513,475.56496413006386,1079.8014007938905,0.0,0
mttr,24.0,GA,4,1495.7706640996985,88.40309131558246,239.40050760226967,206.74126101450844,33.021397569976045,1305.3793163883486,0.0,0
mttr,24.0,SA,0,898.5949243075802,114.35731843735512,215.67831619235542,194.91054548079126,92.8552882803686,644.8753728546692,0.0,0
mttr,24.0,SA,1,751.3073056834584,90.74866395256697,197.89703305778042,168.0365840199533,0.0,612.9565469858501,0.0,0
mttr,24.0,SA,2,1008.2270361534255,90.74866395256697,211.7374003035525,186.77554646282846,0.0,861.9763747935106,0.0,0
mttr,24.0,SA,3,1541.8595559275611,102.13086954525293,237.91441378808585,190.29832115978948,31.905820750589804,1349.4543120359613,0.0,0
mttr,24.0,SA,4,1580.8570599613522,187.21219795083755,213.55468646616168,171.75771726652295,636.4607820350955,752.3722295576849,0.0,0
mttr,24.0,QGA,0,1015.1081743851059,99.95871506024298,208.43417172067126,270.01460926183563,47.27179255308549,801.3238509333305,0.0,0
mttr,24.0,QGA,1,901.7878548064905,90.74866395256697,235.42991999440437,210.80565280250718,0.0,743.6234162713843,0.0,0
mttr,24.0,QGA,2,1419.0797680628493,130.23693948811035,235.0778607526288,231.3764703127352,198.66291469242228,1038.4997313380363,0.0,0
mttr,24.0,QGA,3,1227.692761034711,95.82151893015839,242.50453196310724,227.73214355271148,118.28758929480216,943.1966239753554,0.0,0
mttr,24.0,QGA,4,759.6257504280281,90.74866395256697,222.593353145328,192.655446685184,0.0,608.9423231711095,0.0,0
mttr,24.0,Q2GA,0,1328.9016274704866,125.17193006849591,209.57643011637765,179.3460682338824,331.2410330487598,836.332486705789,0.0,0
mttr,24.0,Q2GA,1,1071.6587638481035,88.40309131558246,253.51403405182282,248.64709784255555,0.0,901.6735884062543,0.0,0
mttr,24.0,Q2GA,2,1419.3623686746605,95.82151893015839,232.30800353240812,183.66618153668435,118.28758929480216,1146.73838254772,0.0,0
mttr,24.0,Q2GA,3,1195.595892189271,112.19419402305103,224.60962867628263,201.1376107451776,82.03966620884813,949.848718216977,0.0,0
mttr,24.0,Q2GA,4,1340.7526981787792,114.35731843735512,261.58206012036254,241.22247998031023,92.8552882803686,1063.999636647562,0.0,0
